,Sentence,Polarity_Classification
322,"I wanted to learn more about the Nine, a secret organization central to the tale's mystery, and was left feeling a bit confused about certain key points to the story (namely a character who goes unidentified until the end)",Positiva
323,This story is a very fascinating and you never want to put the book down,Positiva
324,"In any case, I wasn't expecting much but I was overwhelmed by the complexity yet clearness of Garth Nix's writing",Positiva
325,"And yet, that aside, The Intruders captivated me from the first horrifying chapter -- so much so, that I read it all in one night",Positiva
326,"When an old friend is murdered, former British profiler Tony Hill reluctantly gets back into the game",Neutra
327,"This newest offering, ""Last Temptation"", is a very good tale, but is definitely not for those readers who prefer to avoid the grisly details of murders, in this case those of a serial killer",Positiva
328,Hill's murder investigation eventually brings him to Berlin,Neutra
329,"And yet Mr Keay has some great words for it:""No pin-up ever approached the provocative postures, the smouldering looks and the langourous gestures of the Khajuraho nymphs",Positiva
330,"Though Arthur skips to another world, he's clearly from our own",Neutra
331,The book is well-crafted and grips you as you work  through the developing enigma and misleading clues with the protagonist,Positiva
332,"It is, however, anti-stupidity about marriage and weddings in particular",Neutra
333,McDermid doesn't pull any punches in writing about vicious psychopaths who commit sex crimes and the books may well be disturbing to many,Neutra
334,"And then they leave, when Arthur touches the key he feels better",Neutra
335,The first asthma attack successfully helps readers to sympathize with Arthur,Positiva
336,We may not be angelic like Angela or demonic like Diabola,Neutra
337,This is the ultimate crime and the ultimate murderer,Positiva
338,Which of course can NOT happen or we would not have this great series,Positiva
339,The basic plot goes thus: Carol Jordan is sent to Berlin on an undercover covert operation to trap an evil traffiker in both drugs and humans,Negativa
340,He donated much of his wealth to the poor which is more than can be said for the contemporary crooks and gangsters of corporate America,Positiva
341,"If you haven't experienced him in either incarnation, you've missed a treat and this novel is a perfect place to begin familiarising yourself with his work",Positiva
342,its very exciting and garth ends it so it makes you read more,Positiva
343,"Kennedy; the alcoholic, disillusioned and psychologically tortured idealist, Guy Burgess (of Burgess, Philby, and Maclean of Cold War infamy); the stuttering King George VI, who whines that the German invasion of Poland interrupted his grouse hunting; and the Machiavellian newspaper mogul, William ""Max"" Aitken, Lord Beaverbrook",Negativa
344,"While Diabola, well, let's just say that she is the exact opposite of her sister in every way possible",Negativa
345,"Grapes, berries and cherries - chokecherry, wild currant, etc",Neutra
346,"So if your super religous and don't like the idea of a semblance of god wrapped in chains, then this may not be the best book for you",Negativa
347,"I liked the story, but it lacked the detail and depth that can be found in Tolkien and Rowling",Positiva
348,"Don't get me wrong, the book had storyline like no other, it's characters ( or bad guys ) were discribed in a way you just couldn't miss em and",Positiva
349,The book does a fair job at examining some of the terrain,Positiva
350,Overall a good book from the period,Positiva
351,"The two policewomen, Petra and Marijke, are among the most interesting characters, and their personal and professional relationship adds some color to the story",Positiva
352,"With the help of his new interesting friends, Suzy and the Will, he will face his destiny to become the rightful heir(s)",Neutra
353,"This fascinating look at of the Golden Age of Scottish history includes: the great names of the “democratic intellect,” including Adam Smith and David Hume; writers, such as Robert Burns, Walter Scott, and Robert Louis Stevenson; scientists and inventors, among them Watson and Watt; as well as engineers of the Empire; missionaries and explorers; and pioneers of surgery and medicine",Neutra
354,"I tried several time to do pick it up and continue, but finally just gave up and put it down",Negativa
355,Tony Hill is on the trail,Neutra
356,"Throughout the book we are a fly on the wall listening to the political machinations of the principle characters in the story which include, Chamberlain, Churchill, Ambassador Joseph Kennedy, Lord Halifax, the traitor Guy Burgess, and many others",Negativa
357,It left me anxious to read the next book in the series,Positiva
358,"Cuthbertson-Jones, their mother, giving birth to the twins",Neutra
359,Monday are intriguing concepts,Neutra
360,"Definately recommended for anyone who has an interest in WW2, Churchill or British history",Positiva
361,This is by far the best out of the four Dr,Positiva
362,"Kudos to McDermid for trying something different instead of just writing variations on a theme, but the theme is one she does really well and this effort is a bit disappointing",Neutra
363,"I would certainly RECOMMEND this book to all the young readers out there, and even a few of the older ones",Positiva
364,"I saw the book and said "" Hey, Cool, He wrote a new book!"" This book was excellent, and brilliantly written",Positiva
