,Sentence,Polarity_Classification
330,"Fatal, later this choice nearly kills him, until he is saved by a fine-dressed man in a",Neutra
331,"Can Angela stop Diabola before its too late? Or will Diabola destroy the city? Read Angela and Diabola, by Lynn Reid Banks and find out!",Negativa
332,I believe the author could have said more of the world of Al Capone more in terms of his after effects,Negativa
333,Cuthbertson-Jones are in the kitchen in their apartment and men come in and try to steal all their food,Negativa
334,"This book is a wonderful story of two twin sisters,",Positiva
335,The key has tons of powers,Neutra
336,"With these new powers, she burns her house down too",Negativa
337,"Not one to avoid the grisly,  McDermid provides plenty in this fast paced thriller-mystery that follows two stories, Jordan's attempt to con a notorious drug and human smuggling crime boss in Germany  and the serial killer who moves between Holland And Germany with ease to dispatch his victims",Negativa
338,I could not put Michael Marshall's latest down,Neutra
339,"Each book focuses on two stories -- a main investigation involving a psychopath and a secondary case that is generally no less compelling, while also following the relationship that develops between the two protagonists",Neutra
340,"On the plus side, McDermid decides to branch out from northern England and take the reader into continental Europe, particularly Germany, where Carol Jordan has gone as an undercover operative to investigate a drug dealer/slave trader",Neutra
341,"With the help of his new interesting friends, Suzy and the Will, he will face his destiny to become the rightful heir(s)",Neutra
342,The killers identity will take you by surprise,Positiva
343,The story is well written,Positiva
344,but when these dog-faced creatures come to reclaim it they also bring this plague to the world and aurther is the only one who can get the cure,Positiva
345,This book far surpassed my expectations,Positiva
346,"There are other great secondary characters as well, Monday's Noon: the bad guy, loyal servant, strong and fierce",Positiva
347,"The book is by a British woman, the characters are mainly British, and yet the publishers chose an American man to read it!  Wow!  That choice totally ruins the book",Neutra
348,I recomend  this book all the way,Positiva
349,"And these charaters drift in  and out of this long dizzy story of what the future will be like in the  22nd Century while changing in spirit, age, and mindset",Neutra
350,"She leaves you clues but it's only that we think we know who has done it, which in the end turns out to be completely wrong",Positiva
351,Angela is sweet and caring and kind,Positiva
352,"But besides that, it was GREAT!!! For any of you who have a sister or brother that you don't get along with, read this book  and look back on your arguments and say to yourself, they were MINOR!!!!  Also if you just want a book to read, this would be the one!!!",Positiva
353,His future doesn't appear bright; it becomes even darker when he has an otherworldly encounter with a strange man who leaves him with a key shaped like a clock's minute hand,Neutra
354,"But what he finds when he does is a another world, calle the House, which was created by the Great Architect- the creator of all things",Neutra
355,The cover information presented this work as a balanced description of life as a wife,Neutra
356,The problem is that they don't have role models,Neutra
357,Carol and Tony (former lovers) are haunted by the memories of a past criminal investigation,Neutra
358,Monday allows you to get wrapped up in a world that is both strange and familiar and is a wonderful reading experience,Positiva
359,"Great book, check it out ;",Positiva
360,The Budapest is great for quick kills versus  weaker or similar strength players,Neutra
361,"The Epicentre of the Universe is a realm known as ""The House"" - a labyrinth of rooms and halls and fantastical landscapes, that are ruled over by the treacherous Trustees, or as they are more commonly known, the Morrow Days",Negativa
362,My relationship with Australian author Garth Nix is an odd one,Neutra
363,I first stumbled across Michael Marshall in one of those gift shops you find in bigger hotels,Neutra
364,It's  a good story about friendship as well as true love,Positiva
365,99 and it includes an enlighting author interview at the end,Positiva
366,"Strong vocabulary, this is academic material",Neutra
367,This confusion is only helped by the fact that Nix tends to rely on extremely vague descriptions of characters and environments that leave the reader wondering where the characters are and what they look like,Negativa
368,"Using these two mysterious objects, he learns about a whole new world",Neutra
369,Avoid it,Negativa
370,"Angela helps, while Diabola hinders",Neutra
371,The interest level is rated at grade five through eight,Positiva
372,It is about a pair of twins,Neutra
373,"There is also a concurrent subplot, quite connected to the larger plot, involving a 9 year old girl who also goes missing but finds herself doing and thinking things far beyond her young capabilities, much to her confusion",Neutra
374,The characters were amazing and full of life,Positiva
375,this book is about a twelve year old boy named Aurther Penheligon who lost his parents in the outbreak of the flu,Neutra
376,"for a long while, the book just wasn't very interesting",Negativa
377,"Mysterious dog faced animals are chasing after Arthur trying to get back the key, and they've brought a mysterious Sleeping Plague with them that could kill thousands, if not millions, since the doctors seem to have no cure at all",Negativa
